candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
rf__trees100__depth8__leaf5__featuressqrt,100,8,5,sqrt,0.8,51100,0.4544502901924413,686.932834899053,0.7350585335797906,0.5749458274326469,0.5805707540819662,0.8001469507714916,0.3969465648854962,0.8732959101844426,0.2765957446808511,0.6136514869729905,0.32827860067244696,1089,158,272,104
rf__trees100__depth6__leaf15__features0p5,100,6,15,0.5,0.8,12700,0.48100433445947527,686.932834899053,0.7110289587184226,0.5778847958504667,0.580218420299422,0.8034321372854915,0.36363636363636365,0.8259823576583801,0.32978723404255317,0.6130841679605521,0.3220533978344299,1030,217,252,124
rf__trees300__depth10__leaf15__featuressqrt,300,10,15,sqrt,0.8,614100,0.4462024089694092,686.932834899053,0.7097966728280961,0.5780116961558804,0.5801029922687136,0.8035993740219093,0.36231884057971014,0.8235765838011226,0.3324468085106383,0.6092387687897763,0.3204139783511841,1027,220,251,125
rf__trees150__depth6__leaf5__features0p5,150,6,5,0.5,0.8,19050,0.4718891183394841,686.932834899053,0.7042513863216266,0.5790471599924927,0.5799055240396023,0.8046068308181096,0.35714285714285715,0.8123496391339214,0.34574468085106386,0.6171982971898514,0.31791531255932537,1013,234,246,130
rf__trees150__depth10__leaf5__features0p5,150,10,5,0.5,0.8,307050,0.40102457312653395,686.932834899053,0.6882316697473814,0.5834833387363715,0.5796077202810949,0.8084929225645295,0.3459715639810427,0.7786688051323175,0.3882978723404255,0.6228778856489617,0.3423479211574054,971,276,230,146
rf__trees150__depth8__leaf5__featuressqrt,150,8,5,sqrt,0.8,76650,0.4439727595021763,686.932834899053,0.7079482439926063,0.5777376341517515,0.5795060999606454,0.8036135113904164,0.36,0.8203688853247795,0.3351063829787234,0.6106869252162637,0.3248208253744588,1023,224,250,126
rf__trees200__depth10__leaf15__featuressqrt,200,10,15,sqrt,0.8,409400,0.4490457682111766,686.932834899053,0.711645101663586,0.5764281083110102,0.5790041946383122,0.8026418026418026,0.3630952380952381,0.8283881315156375,0.324468085106383,0.6125403095087785,0.32177660780827,1033,214,254,122
rf__trees300__depth8__leaf15__featuressqrt,300,8,15,sqrt,0.8,153300,0.4546524174683318,686.932834899053,0.6882316697473814,0.582554513811872,0.5788954978976515,0.8079800498753117,0.34523809523809523,0.7794707297514034,0.38563829787234044,0.6117725093415688,0.3177699203738057,972,275,231,145
rf__trees200__depth4__leaf15__features0p5,200,4,15,0.5,0.8,6200,0.49747448704941766,686.932834899053,0.6956253850893407,0.5799354621303895,0.5787082576674738,0.8058489033306255,0.3494897959183674,0.7955092221331195,0.36436170212765956,0.6114461942705045,0.31228623514793413,992,255,239,137
rf__trees300__depth4__leaf10__features0p5,300,4,10,0.5,0.8,9300,0.49309099776582455,686.932834899053,0.6906962415280345,0.5813718882765445,0.5786290572829392,0.8070898598516076,0.3463414634146341,0.785084202085004,0.3776595744680851,0.6135149891654865,0.309647372754105,979,268,234,142
