candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.003__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.003__pca128__no_whiten,0.003,l2,128,False,1.0,1.0,0.5263334544331015,0.550531914893617,0.0966351000006398,0.6611213801601972,0.6224993175109624,0.5942219644266331,0.8367149758454107,0.3520408163265306,0.6944667201283079,0.550531914893617,0.6717227729529593,0.3734395431183284,866,381,169,207,0.6333949476278496,0.6183883874490266,0.578868618661508,0.8395833333333333,0.334841628959276,0.6463512429831596,0.5904255319148937,0.6717227729529593,0.3734395431183284,806,441,154,222
logistic_regression__C0.003__pca384__no_whiten__gold1__wetcost1,logistic_regression__C0.003__pca384__no_whiten,0.003,l2,384,False,1.0,1.0,0.5064215197382034,0.550531914893617,0.30817599999954837,0.6555760936537277,0.6263212561210736,0.5935543526420219,0.8405940594059406,0.35073409461663946,0.6808340016038492,0.5718085106382979,0.667171424183999,0.37116406683315856,849,398,161,215,0.6457178065311152,0.6226923339418861,0.5869927442428587,0.840080971659919,0.34330708661417325,0.6655974338412189,0.5797872340425532,0.667171424183999,0.37116406683315856,830,417,158,218
logistic_regression__C0.003__pca192__no_whiten__gold1__wetcost1,logistic_regression__C0.003__pca192__no_whiten,0.003,l2,192,False,1.0,1.0,0.5180402754493236,0.550531914893617,0.14779369999905612,0.6598890942698706,0.6216973928918766,0.5932330827067669,0.8363988383349468,0.35084745762711866,0.6928628708901363,0.550531914893617,0.6671564947363033,0.3712864259348215,864,383,169,207,0.6389402341343191,0.6173529236124145,0.5811188626393954,0.8375893769152196,0.33695652173913043,0.6575781876503609,0.5771276595744681,0.6671564947363033,0.3712864259348215,820,427,159,217
logistic_regression__C0.0001__pca128__whiten__gold1__wetcost1,logistic_regression__C0.0001__pca128__whiten,0.0001,l2,128,True,1.0,1.0,0.5016838259305865,0.550531914893617,0.025448100000176055,0.6568083795440542,0.619692581344162,0.5907647038851982,0.835603112840467,0.34789915966386553,0.6888532477947072,0.550531914893617,0.658100718319712,0.35883284258837744,859,388,169,207,0.6038200862600123,0.613074570458462,0.5611656062231376,0.8424036281179138,0.31983805668016196,0.5958299919807538,0.6303191489361702,0.658100718319712,0.35883284258837744,743,504,139,237
logistic_regression__C3e-05__pca128__whiten__gold1__wetcost1,logistic_regression__C3e-05__pca128__whiten,3e-05,l2,128,True,1.0,1.0,0.5005164263073145,0.550531914893617,0.03011919999971724,0.6561922365988909,0.6202204439591189,0.590753065621656,0.8360975609756097,0.34782608695652173,0.6872493985565357,0.5531914893617021,0.658390776160658,0.3588293191075044,857,390,168,208,0.6038200862600123,0.6140033953829617,0.5615380446222511,0.8431818181818181,0.3203230148048452,0.595028067361668,0.6329787234042553,0.658390776160658,0.3588293191075044,742,505,138,238
logistic_regression__C1e-05__pca128__whiten__gold1__wetcost1,logistic_regression__C1e-05__pca128__whiten,1e-05,l2,128,True,1.0,1.0,0.5001729731230635,0.550531914893617,0.027843599999869184,0.6555760936537277,0.619819481649576,0.590259797446059,0.8359375,0.34724540901502504,0.6864474739374499,0.5531914893617021,0.6584121039430804,0.35879709265506826,856,391,168,208,0.6038200862600123,0.6149322203074613,0.5619083801227895,0.8439635535307517,0.3208053691275168,0.5942261427425822,0.6356382978723404,0.6584121039430804,0.35879709265506826,741,506,137,239
logistic_regression__C0.0003__pca128__whiten__gold1__wetcost1,logistic_regression__C0.0003__pca128__whiten,0.0003,l2,128,True,1.0,1.0,0.5042356206243839,0.550531914893617,0.030901400000402646,0.6555760936537277,0.6188906567250763,0.5897788462712327,0.8352826510721247,0.34673366834170855,0.6872493985565357,0.550531914893617,0.6574523537340682,0.35895173970019517,857,390,169,207,0.6056685150955021,0.6114909826135918,0.5615187445333369,0.8406285072951739,0.319672131147541,0.6006415396952687,0.6223404255319149,0.6574523537340682,0.35895173970019517,749,498,142,234
logistic_regression__C0.003__pca512__no_whiten__gold1__wetcost1,logistic_regression__C0.003__pca512__no_whiten,0.003,l2,512,False,1.0,1.0,0.5091709829750963,0.550531914893617,0.4317356000001382,0.6549599507085644,0.6184896944155334,0.5892862307314111,0.8351219512195122,0.34615384615384615,0.6864474739374499,0.550531914893617,0.6676768926274123,0.3691509583662157,856,391,169,207,0.6438693776956254,0.6196317971642581,0.5846127278201881,0.8382204246713852,0.34069400630914826,0.6647955092221332,0.574468085106383,0.6676768926274123,0.3691509583662157,829,418,160,216
logistic_regression__C0.003__pca128__whiten__gold1__wetcost1,logistic_regression__C0.003__pca128__whiten,0.003,l2,128,True,1.0,1.0,0.5111967176759382,0.550531914893617,0.034018999998806976,0.6543438077634011,0.6180887321059905,0.5887938217660806,0.8349609375,0.34557595993322204,0.6856455493183641,0.550531914893617,0.653269975601017,0.36144727308148905,855,392,169,207,0.6272335181762169,0.6069481649576004,0.5704713282289945,0.8322981366459627,0.3257229832572298,0.644747393744988,0.5691489361702128,0.653269975601017,0.36144727308148905,804,443,162,214
logistic_regression__C0.001__pca128__whiten__gold1__wetcost1,logistic_regression__C0.001__pca128__whiten,0.001,l2,128,True,1.0,1.0,0.5083637704256814,0.550531914893617,0.03004239999972924,0.6512630930375847,0.6170127454827756,0.5868126272912424,0.8348082595870207,0.3432343234323432,0.6808340016038492,0.5531914893617021,0.6556757494582742,0.36130138500953934,849,398,168,208,0.6173752310536045,0.6126074920234094,0.5681411416880014,0.8387445887445888,0.32474964234620884,0.6214915797914996,0.6037234042553191,0.6556757494582742,0.36130138500953934,775,472,149,227
logistic_regression__C0.003__pca192__whiten__gold1__wetcost1,logistic_regression__C0.003__pca192__whiten,0.003,l2,192,True,1.0,1.0,0.5053733817804902,0.550531914893617,0.05074259999946662,0.6463339494762785,0.6138050470064325,0.5828846980442725,0.8334985133795837,0.33876221498371334,0.6744186046511628,0.5531914893617021,0.6425378354860175,0.3500040076376575,841,406,168,208,0.6358595194085028,0.6134904622157007,0.5777688760743488,0.8353783231083844,0.3333333333333333,0.6551724137931034,0.5718085106382979,0.6425378354860175,0.3500040076376575,817,430,161,215
logistic_regression__C0.001__pca192__whiten__gold1__wetcost1,logistic_regression__C0.001__pca192__whiten,0.001,l2,192,True,1.0,1.0,0.5065088656896809,0.550531914893617,0.04109569999855012,0.6457178065311152,0.6134040846968896,0.5823945442463323,0.8333333333333334,0.3382113821138211,0.673616680032077,0.5531914893617021,0.6445447798119742,0.35201213363623385,840,407,168,208,0.6179913739987677,0.6065066798614547,0.5657356419064717,0.8338658146964856,0.3216374269005848,0.627906976744186,0.5851063829787234,0.6445447798119742,0.35201213363623385,783,464,156,220
logistic_regression__C1e-05__pca256__no_whiten__gold1__wetcost1,logistic_regression__C1e-05__pca256__no_whiten,1e-05,l2,256,False,1.0,1.0,0.5088873497014696,0.550531914893617,0.07288939999943977,0.6444855206407887,0.6116733351533041,0.5809420035306674,0.8323412698412699,0.33658536585365856,0.6728147554129912,0.550531914893617,0.6569084952822944,0.3494328569462313,839,408,169,207,0.6149106592729513,0.6147189424832364,0.5677685629953217,0.8410087719298246,0.32489451476793246,0.6150761828388132,0.6143617021276596,0.6569084952822944,0.3494328569462313,767,480,145,231
