candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct
s1__log__peak_rms__C0.0001__pcanone,s1__log__peak_rms,0.0001,,288,0.5426116943197785,False,1.0200919000199065,0.6789895255699322,0.6127642512242147,0.5964522784248913,0.827027027027027,0.3586744639376218,0.7361668003207699,0.48936170212765956,0.6580985855414697,0.3582773584818092,918,329,192,184,0.5699322242760321,0.610526966848095,0.5407686245767879,0.8496815286624204,0.30787589498806683,0.5348837209302325,0.6861702127659575,0.6580985855414697,0.3582773584818092,667,580,118,258
s1__log__peak_rms__C0.0001__pca32,s1__log__peak_rms,0.0001,32.0,288,0.5422165274009305,False,0.9610065000015311,0.6777572396796057,0.6128911515296285,0.5960321316715123,0.8273056057866185,0.3578336557059961,0.7337610264635124,0.4920212765957447,0.6578469177088844,0.3576301059122767,915,332,191,185,0.5705483672211953,0.6127855790066372,0.5418806111708898,0.8516624040920716,0.3091557669441142,0.5340817963111467,0.6914893617021277,0.6578469177088844,0.3576301059122767,666,581,116,260
s1__log__peak_rms__C0.0001__pca64,s1__log__peak_rms,0.0001,64.0,288,0.5410372346879231,False,0.9566266000038013,0.6752926678989526,0.6140737770649559,0.5957322511531487,0.8284671532846716,0.3567362428842505,0.7281475541299118,0.5,0.6579279632820898,0.358210157022144,908,339,188,188,0.5705483672211953,0.6127855790066372,0.5418806111708898,0.8516624040920716,0.3091557669441142,0.5340817963111467,0.6914893617021277,0.6579279632820898,0.358210157022144,666,581,116,260
s1__log__peak_rms__C0.0001__pca128,s1__log__peak_rms,0.0001,128.0,288,0.5425798966246663,False,0.9637999000260606,0.6789895255699322,0.6127642512242147,0.5964522784248913,0.827027027027027,0.3586744639376218,0.7361668003207699,0.48936170212765956,0.6582265522360047,0.3583195031212281,918,329,192,184,0.5699322242760321,0.610526966848095,0.5407686245767879,0.8496815286624204,0.30787589498806683,0.5348837209302325,0.6861702127659575,0.6582265522360047,0.3583195031212281,667,580,118,258
s1__log__peak_rms__C0.0001__pca256,s1__log__peak_rms,0.0001,256.0,288,0.5426089855463192,False,0.9556516000302508,0.6789895255699322,0.6127642512242147,0.5964522784248913,0.827027027027027,0.3586744639376218,0.7361668003207699,0.48936170212765956,0.658100718319712,0.3582841938230463,918,329,192,184,0.5699322242760321,0.610526966848095,0.5407686245767879,0.8496815286624204,0.30787589498806683,0.5348837209302325,0.6861702127659575,0.658100718319712,0.3582841938230463,667,580,118,258
s1__log__peak_rms__C0.0003__pcanone,s1__log__peak_rms,0.0003,,288,0.5936528305960244,False,0.9910485000000335,0.7350585335797906,0.6055970499411353,0.6100232011301051,0.8154440154440155,0.4176829268292683,0.846832397754611,0.36436170212765956,0.6698715214386869,0.3700499941838258,1056,191,239,137,0.5779420825631546,0.6222412513436503,0.5494708560521788,0.8584183673469388,0.31585220500595945,0.5396952686447474,0.7047872340425532,0.6698715214386869,0.3700499941838258,673,574,111,265
s1__log__peak_rms__C0.0003__pca32,s1__log__peak_rms,0.0003,32.0,288,0.5623403010309987,False,0.8202892999979667,0.6974738139248305,0.6220066457370028,0.6096013725064655,0.8298429319371727,0.37945492662473795,0.7626303127506014,0.48138297872340424,0.6691783685099559,0.3704061325849634,951,296,195,181,0.5730129390018485,0.6162470780938081,0.5445097037897082,0.8542199488491049,0.31153388822829964,0.5356856455493184,0.6968085106382979,0.6691783685099559,0.3704061325849634,668,579,114,262
s1__log__peak_rms__C0.0003__pca64,s1__log__peak_rms,0.0003,64.0,288,0.5929797630361393,False,0.9120665999944322,0.7344423906346272,0.6051960876315924,0.6095171108710761,0.8153013910355487,0.41641337386018235,0.8460304731355253,0.36436170212765956,0.6697328908529407,0.3688529628558045,1055,192,239,137,0.5785582255083179,0.6226422136531932,0.5499795690695171,0.8585987261146497,0.3162291169451074,0.5404971932638332,0.7047872340425532,0.6697328908529407,0.3688529628558045,674,573,111,265
s1__log__peak_rms__C0.0003__pca128,s1__log__peak_rms,0.0003,128.0,288,0.562148349415519,False,0.8620492999907583,0.6968576709796673,0.6234633332764593,0.6102716379098289,0.8308501314636284,0.3796680497925311,0.7602245388933441,0.4867021276595745,0.6701466498319371,0.3700231544555106,948,299,193,183,0.5779420825631546,0.6222412513436503,0.5494708560521788,0.8584183673469388,0.31585220500595945,0.5396952686447474,0.7047872340425532,0.6701466498319371,0.3700231544555106,673,574,111,265
s1__log__peak_rms__C0.0003__pca256,s1__log__peak_rms,0.0003,256.0,288,0.5936498818245881,False,0.8704318000236526,0.7350585335797906,0.6055970499411353,0.6100232011301051,0.8154440154440155,0.4176829268292683,0.846832397754611,0.36436170212765956,0.6698757869951714,0.3700571341894274,1056,191,239,137,0.5779420825631546,0.6222412513436503,0.5494708560521788,0.8584183673469388,0.31585220500595945,0.5396952686447474,0.7047872340425532,0.6698757869951714,0.3700571341894274,673,574,111,265
