candidate_key,gold_multiplier,C,pca_components,output_dimension,threshold_oof,native_threshold,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C10__pca32__gold1p5,1.5,10.0,32.0,32,0.5393382154500421,0.5,0.033848399999442336,0.7054836722119532,0.6290768056100599,0.6173242282300295,0.8329004329004329,0.391025641025641,0.7714514835605453,0.4867021276595745,0.6799105086249553,0.37778643782235777,962,285,193,183,0.6709796672828097,0.6391317886331451,0.6074311959849981,0.8464528668610302,0.367003367003367,0.698476343223737,0.5797872340425532,0.6799105086249553,0.37778643782235777,871,376,158,218
logistic_regression__C0.01__pca64__gold2,2.0,0.01,64.0,64,0.6071340195233639,0.5,0.0569684000001871,0.7344423906346272,0.6144843368765889,0.6172766690831498,0.8202511773940345,0.42120343839541546,0.8380112269446672,0.39095744680851063,0.6777564026002832,0.37946943259232724,1045,202,229,147,0.6691312384473198,0.6388577266290161,0.6063855299258205,0.8466796875,0.3656093489148581,0.6952686447473937,0.5824468085106383,0.6777564026002832,0.37946943259232724,867,380,157,219
logistic_regression__C0.01__pca64__gold1,1.0,0.01,64.0,64,0.6413025169941251,0.5,0.06071160000010423,0.7504621072088724,0.6091193332082103,0.6170307597742904,0.815592203898051,0.44982698961937717,0.8724939855653568,0.34574468085106386,0.6753975498643553,0.37633266307397306,1088,159,246,130,0.6660505237215034,0.6368529150813016,0.603875389520327,0.845927379784102,0.36258278145695366,0.6912590216519647,0.5824468085106383,0.6753975498643553,0.37633266307397306,862,385,157,219
logistic_regression__C0.01__pca64__gold3,3.0,0.01,64.0,64,0.6258040873754445,0.5,0.06962579999981244,0.74060382008626,0.6119921855005204,0.6170034948670017,0.8181818181818182,0.4307692307692308,0.8516439454691259,0.3723404255319149,0.6787332150352334,0.38078980719321087,1062,185,236,140,0.6709796672828097,0.6400606135576448,0.6078943939542005,0.8471275559883155,0.3674496644295302,0.6976744186046512,0.5824468085106383,0.6787332150352334,0.38078980719321087,870,377,157,219
logistic_regression__C0.01__pca64__gold1p5,1.5,0.01,64.0,64,0.64285455029871,0.5,0.07009470000002693,0.7510782501540357,0.6085914705932536,0.6166906737253655,0.8152580403889305,0.45104895104895104,0.8740978348035284,0.34308510638297873,0.6768947601904144,0.37812062241634325,1090,157,247,129,0.6666666666666666,0.6353962275418451,0.6034535785658639,0.8447265625,0.3622704507512521,0.6936647955092221,0.5771276595744681,0.6768947601904144,0.37812062241634325,865,382,159,217
logistic_regression__C0.1__pca64__gold1p5,1.5,0.1,64.0,64,0.6035259726165678,0.5,0.06560300000046482,0.7350585335797906,0.6130276493371325,0.6162740828714701,0.8193901485535575,0.42151162790697677,0.8404170008019246,0.38563829787234044,0.6739046050947807,0.37555970181543086,1048,199,231,145,0.6728280961182994,0.6319752512412768,0.6046462766067253,0.840952380952381,0.3647469458987784,0.7080994386527666,0.5558510638297872,0.6739046050947807,0.37555970181543086,883,364,167,209
logistic_regression__C10__pca32__gold2,2.0,10.0,32.0,32,0.5423727807036935,0.5,0.04055809999954363,0.7054836722119532,0.6272191557610606,0.6161411946324664,0.8317515099223468,0.3900862068965517,0.773055332798717,0.48138297872340424,0.680337064273405,0.37859433702888745,964,283,195,181,0.6715958102279729,0.6404615758671877,0.6083978225687803,0.8472762645914397,0.3680672268907563,0.698476343223737,0.5824468085106383,0.680337064273405,0.37859433702888745,871,376,157,219
logistic_regression__C1__pca32__gold2,2.0,1.0,32.0,32,0.5424917864349473,0.5,0.03582849999975224,0.7054836722119532,0.6272191557610606,0.6161411946324664,0.8317515099223468,0.3900862068965517,0.773055332798717,0.48138297872340424,0.6803242676039517,0.37857897308722066,964,283,195,181,0.6715958102279729,0.6404615758671877,0.6083978225687803,0.8472762645914397,0.3680672268907563,0.698476343223737,0.5824468085106383,0.6803242676039517,0.37857897308722066,871,376,157,219
logistic_regression__C1__pca64__gold1p5,1.5,1.0,64.0,64,0.6008612881753703,0.5,0.07376820000035877,0.7344423906346272,0.6126266870275896,0.6157630353881435,0.8192488262910798,0.42028985507246375,0.8396150761828388,0.38563829787234044,0.6735612277977785,0.37505817063685515,1047,200,231,145,0.6728280961182994,0.6310464263167773,0.6041559780134882,0.8403041825095057,0.36427320490367776,0.7089013632718525,0.5531914893617021,0.6735612277977785,0.37505817063685515,884,363,168,208
logistic_regression__C10__pca64__gold1p5,1.5,10.0,64.0,64,0.6006817871250565,0.5,0.06929280000031213,0.7344423906346272,0.6126266870275896,0.6157630353881435,0.8192488262910798,0.42028985507246375,0.8396150761828388,0.38563829787234044,0.6735292361241447,0.37499445519804486,1047,200,231,145,0.6728280961182994,0.6310464263167773,0.6041559780134882,0.8403041825095057,0.36427320490367776,0.7089013632718525,0.5531914893617021,0.6735292361241447,0.37499445519804486,884,363,168,208
