threshold,global_macro_f1,global_balanced_accuracy,global_precision_cough,global_recall_cough,global_specificity_no_cough,global_roc_auc,original_cough_recall,new_fsd50k_cough_recall,fsd50k_balanced_accuracy,fsd50k_macro_f1,fsd50k_precision_cough,fsd50k_recall_cough,fsd50k_specificity_no_cough,fsd50k_roc_auc,fsd50k_false_positives,fsd50k_false_negatives,phase,candidate,C,penalty,class_weight,new_fsd50k_cough_weight,passes_macro_f1_floor,passes_specificity_floor,passes_original_recall_floor,constraints_passed,eligible,threshold_distance_from_0p5
0.58,0.9554917871175876,0.9535345849856123,0.9416867469879519,0.9287072243346007,0.9783619456366237,0.9876447103956222,0.9657085224407463,0.32231404958677684,0.6533064563039461,0.6502663175950167,0.30952380952380953,0.32231404958677684,0.9842988630211154,0.8518153926924906,87,82,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.07999999999999996
0.59,0.9554516300923639,0.9530898975723059,0.9429676172063799,0.9272813688212928,0.978898426323319,0.9876447103956222,0.9641956631366616,0.32231404958677684,0.6535771655622027,0.6523450908445286,0.3170731707317073,0.32231404958677684,0.9848402815376286,0.8518153926924906,84,82,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.08999999999999997
0.6,0.9553978677068048,0.9524969810212307,0.9446870451237264,0.9253802281368821,0.9796137339055794,0.9876447103956222,0.9626828038325769,0.3140495867768595,0.6498058798349196,0.6516435380466271,0.3220338983050847,0.3140495867768595,0.9855621728929796,0.8518153926924906,80,83,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.09999999999999998
0.61,0.9550006441458706,0.951428779299053,0.946367625548513,0.9225285171102662,0.9803290414878397,0.9876447103956222,0.9596570852244075,0.3140495867768595,0.6500765890931762,0.6538019419375352,0.33043478260869563,0.3140495867768595,0.9861035914094929,0.8518153926924906,77,83,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.10999999999999999
0.62,0.9542857780051321,0.9501817506813102,0.947136563876652,0.9196768060836502,0.98068669527897,0.9876447103956222,0.956631366616238,0.3140495867768595,0.6502570619320139,0.6552696276772021,0.336283185840708,0.3140495867768595,0.9864645370871684,0.8518153926924906,75,83,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.12
0.63,0.9539135870312829,0.9494100072346698,0.9479626902307314,0.9177756653992395,0.9810443490701002,0.9876447103956222,0.9551185073121533,0.30578512396694213,0.6462150669464741,0.6523605083502244,0.3333333333333333,0.30578512396694213,0.9866450099260061,0.8518153926924906,74,84,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.13
0.64,0.9530374487017479,0.9480735651691443,0.9482758620689655,0.9149239543726235,0.9812231759656652,0.9876447103956222,0.9525970751386788,0.2975206611570248,0.6421730719609344,0.6494007728423511,0.3302752293577982,0.2975206611570248,0.9868254827648439,0.8518153926924906,73,85,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.14
0.65,0.9532965812733897,0.9476594755136343,0.950990099009901,0.9130228136882129,0.9822961373390557,0.9876447103956222,0.951084215834594,0.2892561983471074,0.6384017862336512,0.6485729445095154,0.33653846153846156,0.2892561983471074,0.9875473741201949,0.8518153926924906,69,86,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,False,2,False,0.15000000000000002
0.66,0.9529073677816537,0.9467395029292254,0.952286282306163,0.9106463878326996,0.9828326180257511,0.9876447103956222,0.9485627836611196,0.2892561983471074,0.6386724954919077,0.6508120442546672,0.3465346534653465,0.2892561983471074,0.9880887926367081,0.8518153926924906,66,86,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,False,2,False,0.16000000000000003
0.67,0.9531956465760976,0.9466218715492529,0.9541375872382851,0.9096958174904943,0.9835479256080114,0.9876447103956222,0.9475542107917297,0.2892561983471074,0.6388529683307456,0.6523365863243384,0.35353535353535354,0.2892561983471074,0.9884497383143837,0.8518153926924906,64,86,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,False,2,False,0.17000000000000004
