candidate_key,C,gamma,gamma_multiplier_over_dimension,pca_components,pca_whiten,threshold_oof,elapsed_fit_seconds,support_vectors_mean_cv,support_vectors_max_cv,support_vector_fraction_mean_cv,kernel_feature_products_mean_cv,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
rbf_svm__C10__gamma2overD__pca32,10.0,0.0625,2.0,32,True,-0.24799254630984147,0.3382377978414297,1023.2,1028,0.7880481726491042,32742.4,0.6919285274183611,0.5719567387261342,0.5712718881154348,0.8019401778496362,0.3393782383419689,0.7955092221331195,0.3484042553191489,0.6236862086027744,0.31442914088650653,992,255,245,131,0.7270486752926679,0.5409397447490999,0.5405741824299843,0.7851063829787234,0.3427230046948357,0.8877305533279871,0.19414893617021275,0.6236862086027744,0.31442914088650653,1107,140,303,73
rbf_svm__C0p1__gamma1overD__pca128,0.1,0.0078125,1.0,128,True,0.3731704947410136,0.3691849038004875,1261.4,1268,0.9715025544124851,161459.2,0.6931608133086876,0.569972188571721,0.5698415300313789,0.8008032128514057,0.3386243386243386,0.7995188452285485,0.3404255319148936,0.6182582879762494,0.30293838232623926,997,250,248,128,0.5834873690696242,0.5710492415840571,0.5327117292700212,0.8133918770581778,0.2893258426966292,0.5942261427425822,0.5478723404255319,0.6182582879762494,0.30293838232623926,741,506,170,206
rbf_svm__C100__gamma0p25overD__pca64,100.0,0.00390625,0.25,64,True,-0.06391905287439315,0.7378356028348207,844.4,861,0.6503358634293773,54041.6,0.6919285274183611,0.5682414390281356,0.5681139859752801,0.8,0.335978835978836,0.7987169206094628,0.3377659574468085,0.5987476326161512,0.3004747586964478,996,251,249,127,0.6943930991990142,0.5577705642478118,0.5591239085002256,0.7945098039215687,0.3275862068965517,0.8123496391339214,0.30319148936170215,0.5987476326161512,0.3004747586964478,1013,234,262,114
rbf_svm__C0p1__gamma2overD__pca64,0.1,0.03125,2.0,64,True,0.5733022296759749,0.2947662975639105,1262.2,1271,0.972118768615422,80780.8,0.6617375231053605,0.5783166834445221,0.5680063880755922,0.808303886925795,0.32382892057026474,0.7337610264635124,0.4228723404255319,0.611586957634493,0.3082963799788506,915,332,217,159,0.4510166358595194,0.556361864218806,0.445212929006784,0.8284132841328413,0.26179463459759483,0.36006415396952685,0.7526595744680851,0.611586957634493,0.3082963799788506,449,798,93,283
rbf_svm__C10__gamma1overD__pca32,10.0,0.03125,1.0,32,True,-0.15295963014928382,0.34709640219807625,935.2,948,0.720273387968225,29926.4,0.6759088108441158,0.5680334931495163,0.5644593508046578,0.8011695906432749,0.323943661971831,0.7690457097032879,0.3670212765957447,0.6114632564964425,0.30844669816613846,959,288,238,138,0.7030191004313001,0.5605975618079135,0.56286321615049,0.7953667953667953,0.3384146341463415,0.8259823576583801,0.29521276595744683,0.6114632564964425,0.30844669816613846,1030,217,265,111
rbf_svm__C100__gamma0p5overD__pca32,100.0,0.015625,0.5,32,True,-0.08709195990467322,0.6337051019072533,764.0,768,0.5884176639372944,24448.0,0.6765249537892791,0.5656479806855602,0.5627121775478626,0.7998338870431894,0.3221957040572792,0.7722534081796311,0.35904255319148937,0.5780340903274241,0.2861206827062016,963,284,241,135,0.6814540973505854,0.5577097800679076,0.557097832759488,0.7953074433656958,0.3178294573643411,0.7882919005613472,0.3271276595744681,0.5780340903274241,0.2861206827062016,983,264,253,123
rbf_svm__C100__gamma2overD__pca32,100.0,0.0625,2.0,32,True,-0.42703279065146627,0.33075109869241714,997.4,1002,0.7681771328187738,31916.8,0.6444855206407887,0.5791644627958163,0.5626675072676964,0.8107606679035251,0.3155963302752294,0.7008821170809943,0.4574468085106383,0.6151998839768635,0.30967086099031205,874,373,204,172,0.7288971041281578,0.544000281526728,0.5442873187665918,0.7863733144073811,0.35046728971962615,0.888532477947073,0.19946808510638298,0.6151998839768635,0.30967086099031205,1108,139,301,75
rbf_svm__C10__gamma2overD__pca64,10.0,0.03125,2.0,64,True,-0.4383441471864855,0.398570304736495,1109.4,1117,0.8544358526352498,71001.6,0.6358595194085028,0.5837680646317118,0.5621268955656807,0.8147792706333973,0.31497418244406195,0.6808340016038492,0.4867021276595745,0.6142252043201556,0.2949295938854532,849,398,193,183,0.7350585335797906,0.5145722073401696,0.4982471831269448,0.7739771965124078,0.29545454545454547,0.92542101042502,0.10372340425531915,0.6142252043201556,0.2949295938854532,1154,93,337,39
rbf_svm__C100__gamma2overD__pca64,100.0,0.03125,2.0,64,True,-0.4556647584153519,0.38137029856443405,1108.6,1115,0.8538189267315974,70950.4,0.6272335181762169,0.5883716664676073,0.5611021491318054,0.8190854870775348,0.31442463533225284,0.6607858861267041,0.5159574468085106,0.6155432612738658,0.29468605773263584,824,423,182,194,0.7369069624152803,0.516703919193298,0.5009473072494388,0.774798927613941,0.3053435114503817,0.9270248596631917,0.10638297872340426,0.6155432612738658,0.29468605773263584,1156,91,336,40
rbf_svm__C0p1__gamma2overD__pca128,0.1,0.015625,2.0,128,True,0.5302099955268088,0.4021432027220726,1266.2,1275,0.9751991279293899,162073.6,0.6463339494762785,0.5747944001774471,0.5605733854078225,0.807868252516011,0.3132075471698113,0.7080994386527666,0.44148936170212766,0.6019137419167705,0.29164718667297684,883,364,210,166,0.4682686383240912,0.5685176338105069,0.4607215667249973,0.8380281690140845,0.26919431279620853,0.3817161186848436,0.7553191489361702,0.6019137419167705,0.29164718667297684,476,771,92,284
