candidate_key,model_name,C,pca_components,output_dimension,score_type,native_threshold,threshold_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.1__pca256,logistic_regression,0.1,256.0,256,wet_probability,0.5,0.6764948484985609,0.3882860019803047,0.722735674676525,0.5929336791277791,0.5960113903381258,0.8101167315175097,0.3905325443786982,0.834803528468324,0.35106382978723405,0.6422946987664011,0.3654666459051543,1041,206,244,132,0.6500308071472581,0.6041360968451944,0.5794231864169234,0.8261287223823247,0.33505154639175255,0.6896551724137931,0.5186170212765957,0.6422946987664011,0.3654666459051543,860,387,181,195
logistic_regression__C0.01__pcanone,logistic_regression,0.01,,1932,wet_probability,0.5,0.6508497238967503,3.0921777989715338,0.7313616759088108,0.5901877271408829,0.5953285052223203,0.8078967350037966,0.4019607843137255,0.8532477947072975,0.3271276595744681,0.648748485727448,0.35547365555560034,1064,183,253,123,0.6494146642020949,0.5990910099131532,0.5763535431058884,0.8228571428571428,0.33158813263525305,0.6928628708901363,0.5053191489361702,0.648748485727448,0.35547365555560034,864,383,186,190
linear_svm__C1__pca256,linear_svm,1.0,256.0,256,wet_decision_score,0.0,0.2392982016632334,0.4803057983517647,0.7110289587184226,0.5955324694159599,0.5952650734697893,0.8127009646302251,0.37730870712401055,0.8107457898957497,0.3803191489361702,0.6390976641812691,0.3566864540595801,1011,236,233,143,0.6500308071472581,0.5967054974491972,0.5752499115357396,0.8211920529801324,0.3303886925795053,0.6960705693664796,0.4973404255319149,0.6390976641812691,0.3566864540595801,868,379,189,187
logistic_regression__C1__pca256,logistic_regression,1.0,256.0,256,wet_probability,0.5,0.7147215658883734,0.5319018997251987,0.7258163894023414,0.5912231909774949,0.5951699648831728,0.8089368258859785,0.39384615384615385,0.8420208500400962,0.3404255319148936,0.6387990752273541,0.3590429365431243,1050,197,248,128,0.6512630930375847,0.6021515466907812,0.5788474234366403,0.8245948522402288,0.3344947735191638,0.6936647955092221,0.5106382978723404,0.6387990752273541,0.3590429365431243,865,382,184,192
linear_svm__C0.1__pca256,linear_svm,0.1,256.0,256,wet_decision_score,0.0,0.428854419624458,0.5348437000066042,0.7387553912507702,0.5875686754594005,0.594050855136482,0.8059479553903346,0.4136690647482014,0.8692862870890137,0.3058510638297872,0.639336535344401,0.3575830542328349,1084,163,261,115,0.6531115218730745,0.600567958845911,0.5787243459558646,0.8232514177693762,0.3345132743362832,0.698476343223737,0.5026595744680851,0.639336535344401,0.3575830542328349,871,376,187,189
linear_svm__C0.01__pca256,linear_svm,0.01,256.0,256,wet_decision_score,0.0,0.1829209953978332,0.5680364985018969,0.7024029574861368,0.5954919466293572,0.5928094475019025,0.8136288998357963,0.36790123456790125,0.7947072975140337,0.3962765957446808,0.6407932228838574,0.3600770819474012,991,256,227,149,0.6580406654343808,0.6065621320957533,0.5841867576247315,0.8264150943396227,0.3410301953818828,0.702485966319166,0.5106382978723404,0.6407932228838574,0.3600770819474012,876,371,184,192
logistic_regression__C10__pca256,logistic_regression,10.0,256.0,256,wet_probability,0.5,0.5686163024930777,0.6503660995513201,0.6839186691312384,0.6038972256820625,0.5927227101631116,0.8208041958041958,0.3569937369519833,0.7530072173215717,0.45478723404255317,0.6381229845245611,0.35781492105409474,939,308,205,171,0.651879235982748,0.6034813339248238,0.5798505872731147,0.825381679389313,0.3356521739130435,0.6936647955092221,0.5132978723404256,0.6381229845245611,0.35781492105409474,865,382,183,193
logistic_regression__C0.1__pcanone,logistic_regression,0.1,,1932,wet_probability,0.5,0.4686172486667697,5.854987500235438,0.6654343807763401,0.592797181320275,0.5788209228204679,0.8165467625899281,0.33659491193737767,0.7281475541299118,0.4574468085106383,0.616852787114607,0.3270928461983518,908,339,204,172,0.669747381392483,0.5835291934685799,0.574142536009963,0.8104803493449781,0.33263598326359833,0.7441860465116279,0.4228723404255319,0.616852787114607,0.3270928461983518,928,319,217,159
linear_svm__C0.01__pcanone,linear_svm,0.01,,1932,wet_decision_score,0.0,-0.08817954238793402,15.57430980168283,0.6543438077634011,0.5939392840689997,0.5753506435480328,0.8187732342007435,0.33089579524680074,0.706495589414595,0.48138297872340424,0.6100748178607381,0.3222647612166926,881,366,195,181,0.66728280961183,0.57728121960791,0.5690099453947473,0.8071242397914856,0.326271186440678,0.7449879711307137,0.4095744680851064,0.6100748178607381,0.3222647612166926,929,318,222,154
logistic_regression__C1__pcanone,logistic_regression,1.0,,1932,wet_probability,0.5,0.6915715821579486,13.289828099310398,0.6987060998151571,0.5726520244331075,0.5732458869007259,0.8017515923566879,0.3460490463215259,0.8075380914194066,0.3377659574468085,0.5941003088262895,0.30653806330256506,1007,240,249,127,0.66728280961183,0.5670641454384139,0.5615532387489244,0.8013640238704177,0.31777777777777777,0.7538091419406576,0.3803191489361702,0.5941003088262895,0.30653806330256506,940,307,233,143
linear_svm__C0.1__pcanone,linear_svm,0.1,,1932,wet_decision_score,0.0,0.2414057250650134,45.23882380314171,0.6931608133086876,0.5690433636472214,0.5690433636472214,0.8003207698476343,0.3377659574468085,0.8003207698476343,0.3377659574468085,0.5881519903086556,0.2997725073651104,998,249,249,127,0.6605052372150338,0.5589382603354434,0.5536876158173932,0.7974358974358975,0.3068432671081678,0.748195669607057,0.3696808510638298,0.5881519903086556,0.2997725073651104,933,314,237,139
logistic_regression__C10__pcanone,logistic_regression,10.0,,1932,wet_probability,0.5,0.8038851272164325,26.427417101338506,0.6931608133086876,0.5643992390247231,0.564979590606512,0.7979315831344471,0.3333333333333333,0.8043303929430633,0.324468085106383,0.5872178334385504,0.3010446018106743,1003,244,254,122,0.6642020948860136,0.5585575594192018,0.5542765834900905,0.7969543147208121,0.30839002267573695,0.7554129911788292,0.3617021276595745,0.5872178334385504,0.3010446018106743,942,305,240,136
linear_svm__C1__pcanone,linear_svm,1.0,,1932,wet_decision_score,0.0,0.32908927817593026,75.73796769790351,0.6913123844731978,0.5622675271715948,0.5627733933277376,0.7969745222929936,0.329700272479564,0.8027265437048917,0.32180851063829785,0.5824062857240355,0.29798522170110875,1001,246,255,121,0.6654343807763401,0.5575018341892883,0.5537291401342425,0.7962962962962963,0.3080459770114943,0.7586206896551724,0.35638297872340424,0.5824062857240355,0.29798522170110875,946,301,242,134
