candidate_key,C,pca_components,pca_whiten,gold_multiplier,wet_cost,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p15,0.0003,64,False,1.5,1.15,train_oof,all,1623,1247,376,0.5302152478548146,0.6869993838570548,0.6504856336057603,0.6210662744737567,0.8509021842355176,0.38421052631578945,0.7185244587008821,0.5824468085106383,0.680096060332031,0.3794717396987229,896,351,157,219
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p15,0.0003,64,False,1.5,1.15,train_oof,weak_all,1561,1191,370,0.5302152478548146,0.6828955797565663,0.6468718088365444,0.6193014947698574,0.8452380952380952,0.38698010849909587,0.7153652392947103,0.5783783783783784,0.6757800621780471,0.37921202129480436,852,339,156,214
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p15,0.0003,64,False,1.5,1.15,train_oof,gold_all,62,56,6,0.5302152478548146,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8363095238095237,0.5851307189542483,44,12,1,5
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p15,0.0003,64,False,1.5,1.15,train_oof,gold_3_of_4,31,28,3,0.5302152478548146,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7142857142857142,0.4879227053140096,24,4,1,2
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p15,0.0003,64,False,1.5,1.15,train_oof,gold_4_of_4,31,28,3,0.5302152478548146,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p3,0.0003,64,False,1.5,1.3,train_oof,all,1623,1247,376,0.5319316589575257,0.685150955021565,0.6511403965261308,0.620473186105438,0.8518164435946463,0.3830155979202773,0.714514835605453,0.5877659574468085,0.6801685747922674,0.3791020159617068,891,356,155,221
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p3,0.0003,64,False,1.5,1.3,train_oof,weak_all,1561,1191,370,0.5319316589575257,0.680973734785394,0.6474754351328659,0.6186631740051801,0.8461538461538461,0.38571428571428573,0.7111670864819479,0.5837837837837838,0.6758957950393718,0.37895120082103395,847,344,154,216
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p3,0.0003,64,False,1.5,1.3,train_oof,gold_all,62,56,6,0.5319316589575257,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8363095238095237,0.5851307189542483,44,12,1,5
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p3,0.0003,64,False,1.5,1.3,train_oof,gold_3_of_4,31,28,3,0.5319316589575257,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7142857142857142,0.4879227053140096,24,4,1,2
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p3,0.0003,64,False,1.5,1.3,train_oof,gold_4_of_4,31,28,3,0.5319316589575257,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
