n_components,explained_variance_ratio,cumulative_explained_variance_ratio
386,5.009554784006332e-05,0.9907224941722224
387,4.988143179806212e-05,0.9907723756040204
388,4.9402963804087537e-05,0.9908217785678245
389,4.894148682904203e-05,0.9908707200546535
390,4.877881910160955e-05,0.9909194988737551
391,4.856610906175646e-05,0.9909680649828169
392,4.836285216867337e-05,0.9910164278349856
393,4.818966883201862e-05,0.9910646175038176
394,4.7873218947718775e-05,0.9911124907227653
395,4.7572215992336604e-05,0.9911600629387577
396,4.7433840313652745e-05,0.9912074967790714
397,4.702745692121238e-05,0.9912545242359926
398,4.668969571827892e-05,0.9913012139317109
399,4.6334681734364714e-05,0.9913475486134452
400,4.579560254212812e-05,0.9913933442159873
401,4.566764689086182e-05,0.9914390118628782
402,4.555851298386618e-05,0.991484570375862
403,4.498145173384573e-05,0.9915295518275958
404,4.4936092451531495e-05,0.9915744879200473
405,4.481768646371591e-05,0.991619305606511
406,4.436154619098605e-05,0.991663667152702
407,4.410532201956558e-05,0.9917077724747216
408,4.386600753054555e-05,0.9917516384822522
409,4.372145528210303e-05,0.9917953599375343
410,4.349790421300578e-05,0.9918388578417473
411,4.326613059280972e-05,0.9918821239723401
412,4.304512964975607e-05,0.9919251691019899
413,4.27872022560191e-05,0.991967956304246
414,4.2721567166572496e-05,0.9920106778714125
415,4.2452072132957986e-05,0.9920531299435454
416,4.205002295882304e-05,0.9920951799665043
417,4.200509588434541e-05,0.9921371850623887
418,4.179262497072795e-05,0.9921789776873594
419,4.137110858877852e-05,0.9922203487959482
420,4.121018526500329e-05,0.9922615589812133
421,4.099118160562232e-05,0.9923025501628189
422,4.082751485559774e-05,0.9923433776776744
423,4.042707937920451e-05,0.9923838047570537
424,4.0268407608876754e-05,0.9924240731646625
425,4.015803445055338e-05,0.9924642311991131
426,3.975789000920569e-05,0.9925039890891223
427,3.97064196517671e-05,0.9925436955087741
428,3.924453262077579e-05,0.9925829400413949
429,3.912472933029559e-05,0.9926220647707252
430,3.897851306670963e-05,0.9926610432837919
