candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,threshold_oof,selected_rf,elapsed_seconds_total_search,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
rf__trees100__depth10__leaf5__features0p1,100,10,5,0.1,0.8,0.39589408082845123,False,574.2986249998212,0.7067159581022797,0.6289499053046461,0.6177472984206152,0.8326143226919759,0.3922413793103448,0.7738572574178028,0.48404255319148937,0.6677707348700712,0.359742442168288,965,282,194,182,0.7443006777572396,0.5707431879062942,0.576292191023782,0.7975679542203148,0.41333333333333333,0.8941459502806736,0.2473404255319149,0.6677707348700712,0.359742442168288,1115,132,283,93
rf__trees100__depth4__leaf5__featuressqrt,100,4,5,sqrt,0.8,0.5468039041212647,False,574.2986249998212,0.7270486752926679,0.6180322134825709,0.6177024041516346,0.8231511254019293,0.41160949868073876,0.8211708099438653,0.4148936170212766,0.6645182480506407,0.3540893949949537,1024,223,220,156,0.6820702402957486,0.6249861369414254,0.60497537782306,0.8344007319304666,0.36792452830188677,0.731355252606255,0.5186170212765957,0.6645182480506407,0.3540893949949537,912,335,181,195
rf__trees100__depth4__leaf10__featuressqrt,100,4,10,sqrt,0.8,0.5288561755762462,False,574.2986249998212,0.7128773875539125,0.6246001040795782,0.6173269891641806,0.8289806234203876,0.3967889908256881,0.789093825180433,0.4601063829787234,0.6654076165776587,0.35447412554277913,984,263,203,173,0.6833025261860751,0.6304321861830094,0.6086125488400373,0.8377880184331797,0.37174721189591076,0.7289494787489976,0.5319148936170213,0.6654076165776587,0.35447412554277913,909,338,176,200
rf__trees100__depth6__leaf5__featuressqrt,100,6,5,sqrt,0.8,0.4426429648994543,False,574.2986249998212,0.6888478126925447,0.6405426214403931,0.6167360217122833,0.8435185185185186,0.3812154696132597,0.7305533279871692,0.550531914893617,0.6657317988704806,0.3539743818257428,911,336,169,207,0.7215033887861984,0.6116370779231859,0.6110109528374721,0.8203062046736502,0.4005235602094241,0.8163592622293504,0.40691489361702127,0.6657317988704806,0.3539743818257428,1018,229,223,153
rf__trees150__depth6__leaf10__featuressqrt,150,6,10,sqrt,0.8,0.5172972594141038,False,574.2986249998212,0.7301293900184843,0.6153929004077872,0.6166637906861371,0.8212867355043686,0.41483516483516486,0.8291900561347233,0.4015957446808511,0.6660325206026378,0.36437021676318515,1034,213,225,151,0.7159581022797289,0.6117437168352984,0.6092985731256773,0.821078431372549,0.39348370927318294,0.805934242181235,0.4175531914893617,0.6660325206026378,0.36437021676318515,1005,242,219,157
rf__trees300__depth4__leaf10__featuressqrt,300,4,10,sqrt,0.8,0.5412116397022932,False,574.2986249998212,0.7208872458410351,0.6186667150096401,0.6160786412710016,0.8243464052287581,0.40350877192982454,0.8091419406575782,0.42819148936170215,0.6683209916565716,0.3567419500848168,1009,238,215,161,0.6826863832409119,0.6253870992509682,0.6054738849384382,0.8345521023765996,0.3686200378071834,0.7321571772253408,0.5186170212765957,0.6683209916565716,0.3567419500848168,913,334,181,195
rf__trees300__depth4__leaf5__featuressqrt,300,4,5,sqrt,0.8,0.5153329477964806,False,574.2986249998212,0.7005545286506469,0.6295844068317152,0.6155977699370359,0.8340649692712906,0.38636363636363635,0.7618283881315157,0.4973404255319149,0.669052534593663,0.3600723945202965,950,297,189,187,0.6839186691312384,0.626189023870054,0.6064718118435773,0.8348540145985401,0.3700189753320683,0.7337610264635124,0.5186170212765957,0.669052534593663,0.3600723945202965,915,332,181,195
rf__trees100__depth8__leaf10__features0p1,100,8,10,0.1,0.8,0.41283416902822057,False,574.2986249998212,0.6894639556377079,0.6362994591274378,0.6146825292146983,0.84051329055912,0.37969924812030076,0.7353648757016841,0.5372340425531915,0.6685001450289204,0.3629538059869677,917,330,174,202,0.7313616759088108,0.5939030268388814,0.5987684561475131,0.8097784568372803,0.40445859872611467,0.8500400962309543,0.3377659574468085,0.6685001450289204,0.3629538059869677,1060,187,249,127
rf__trees100__depth8__leaf5__featuressqrt,100,8,5,sqrt,0.8,0.42144845084870386,False,574.2986249998212,0.707332101047443,0.6237779180671911,0.6146363457773081,0.8293515358361775,0.3902439024390244,0.7794707297514034,0.46808510638297873,0.6624195942602671,0.3522040155375435,972,275,200,176,0.74060382008626,0.5822697879165316,0.5888624872362485,0.8032305433186491,0.41379310344827586,0.8773055332798717,0.2872340425531915,0.6624195942602671,0.3522040155375435,1094,153,268,108
rf__trees100__depth4__leaf15__featuressqrt,100,4,15,sqrt,0.8,0.5340100304023004,False,574.2986249998212,0.7110289587184226,0.6187530925284512,0.6126284665942325,0.8257956448911222,0.3916083916083916,0.7906976744186046,0.44680851063829785,0.6667192751966422,0.3580038808401695,986,261,208,168,0.6839186691312384,0.6299043235680527,0.6085911662596342,0.8373161764705882,0.3719626168224299,0.7305533279871692,0.5292553191489362,0.6667192751966422,0.3580038808401695,911,336,177,199
